outcome,n_iv,IREB2_theta,IREB2_p,smoking_theta,smoking_p,IREB2_theta_halfA,IREB2_p_halfA,smoking_theta_halfA,smoking_p_halfA,IREB2_theta_halfB,IREB2_p_halfB,smoking_theta_halfB,smoking_p_halfB,IREB2_theta_loo_min,IREB2_theta_loo_max
own:LUAD,15,-1.8184287969410438,1.3095498764154044e-24,0.8935054745402056,0.006106483446917515,-1.818793115590127,1.2912696419685824e-24,0.9498260149571421,0.03727337310487806,-1.8180487587154492,1.3492863308123349e-24,0.8347548223337684,0.07310484673308451,-1.819187544736401,-1.817190408326646
own:LUSC,13,-2.3481801092466994,1.4666647566201942e-29,1.477089060031956,0.00021068219953737194,-2.349534074631822,1.3721462101557754e-29,1.6864005031542597,0.0014102657807614012,-2.3463899761046405,1.6387084741225926e-29,1.2003498202679515,0.04812496574100426,-2.3500916987782303,-2.346631472820333
own:SCLC,15,-2.580565372257759,9.58218348417282e-15,1.1775731335731354,0.048906949913757845,-2.5783308168852015,1.0140790995165469e-14,0.8321300263074565,0.3193174223181391,-2.5829104059805545,9.104886314864337e-15,1.5400952468282654,0.07198906632935864,-2.5825363741632192,-2.579155430657112
fg:FinnGen lung cancer,15,-2.0878409534285605,2.6658734329539686e-31,1.1980299061690438,0.0006418974486649776,-2.0834806725845834,3.5782015436882833e-31,0.5239678615259452,0.278240032484407,-2.092709915741099,1.9626606415303852e-31,1.950729745724752,0.00013340341459960897,-2.089520971775546,-2.0858009881312913
fg:FinnGen COPD,15,-1.3478648011579917,5.0999278365034605e-36,1.46263084644416,6.410643363910604e-12,-1.3453712337250556,6.909121798560328e-36,1.0771466947474209,0.00024073456033627197,-1.3506397408929536,3.7362643172484065e-36,1.891612744271544,9.794776345623593e-10,-1.3493822748917403,-1.3466060345378468
