outcome,n_iv,per_SD,se_per_SD,p,smoking_theta,smoking_p,per_2fold_extrapolated,se_per_2fold_extrapolated,OR_per_2fold_extrapolated,OR_per_SD,OR_at_instrument_range,within_instrument_range
LUAD,15,-1.818428796941044,0.1775773360199852,1.6964378267121554e-23,0.8935054745402056,0.0232999461609048,-6.196479175123769,0.6051126480579319,0.002036588499561919,0.16228052638895166,0.6746515742577969,yes
LUSC,13,-2.3481801092466994,0.2079835275414973,2.0913944253196183e-28,1.477089060031956,0.0010419456136462,-8.00166009846729,0.7087248064634848,0.00033490618890765096,0.09554288169931019,0.6015702706627306,yes
SCLC,15,-2.580565372257759,0.3332048474897854,9.451246129624629e-14,1.1775731335731354,0.1438085962441245,-8.793536274909284,1.1354290594132552,0.00015171052784476098,0.07573117561125037,0.5720627433841207,yes
FinnGen lung cancer,15,-2.0878409534285605,0.1794107481651997,3.9165004088866895e-30,1.1980299061690438,0.0029522570093839,-7.114528218346332,0.6113601845005748,0.0008132042757060424,0.12395447059424128,0.6364386565235758,yes
FinnGen COPD,15,-1.3478648011579917,0.1075688357183483,8.059483175067062e-35,1.46263084644416,5.6323546670956514e-11,-4.59298499083801,0.3665516359740455,0.010122597371022236,0.2597943815188245,0.7469808850108015,yes
