trait,p_e_max,n_snps,mean_abs_r,wald_median,wald_iqr,wald_min,wald_max,Q,Q_null_median,Q_p,cond_snp,z_lead_raw,z_lead_cond,max_abs_r_to_cond
LUAD,1e-06,14,0.9362824175824178,-1.8676955753143414,0.10485249943418506,-1.9042270975737274,-1.723070001469076,0.32055594730834674,1.4498988337642649,0.8145927036481759,rs16969968,10.208378870673952,4.25086299025082,0.4425
LUAD,1e-05,52,0.9047004524886878,-1.8179917387021773,0.14920912492977423,-2.1379688917872066,-1.2325319095416223,5.5467225453092155,5.367834787838914,0.49375312343828087,rs16969968,10.208378870673952,4.25086299025082,0.4425
LUAD,0.0001,119,0.7819176613018088,-1.8037229855954784,0.3584925172916309,-2.3113376130156427,-1.2325319095416223,21.06927177292779,13.686938617537283,0.34832583708145926,rs16969968,10.208378870673952,4.25086299025082,0.4856
LUSC,1e-06,14,0.9362824175824178,-2.425673876989512,0.09194748487475746,-2.4493058110489323,-2.27448765976201,0.31582321994170925,1.2409334585182905,0.7861069465267366,rs16969968,11.245145523217063,6.044415205189269,0.4425
LUSC,1e-05,52,0.9047004524886878,-2.4289552438592965,0.18659707527552927,-2.7399422617324074,-1.8322365484952003,5.534240216587815,4.59394925488043,0.4522738630684658,rs16969968,11.245145523217063,6.044415205189269,0.4425
LUSC,0.0001,102,0.8444943700252378,-2.4162188847892736,0.17040551210295218,-2.9394134543177572,-1.8322365484952003,10.810223393646755,9.416207899452992,0.4567716141929036,rs16969968,11.245145523217063,6.044415205189269,0.4856
SCLC,1e-06,14,0.9362824175824178,-2.634483108545438,0.1668033201672321,-2.7181128129659395,-2.3597307918319377,0.5103356414955202,2.1989095425038157,0.8070964517741129,rs16969968,7.722340868118153,4.068786660452445,0.4425
SCLC,1e-05,52,0.9047004524886878,-2.5739538706739395,0.2548447279148016,-3.0303646028921003,-1.7088502827838592,5.5198743485648025,8.155035186778612,0.6016991504247876,rs16969968,7.722340868118153,4.068786660452445,0.4425
SCLC,0.0001,120,0.7793740056022409,-2.545317547832493,0.3934736413016968,-3.0303646028921003,-1.7088502827838592,13.838399095392873,21.145860007913676,0.6416791604197901,rs16969968,7.722340868118153,4.068786660452445,0.4856
