outcome,delta_for_significance_loss,delta_for_half_attenuation,theta_at_delta_0,theta_at_delta_0.05,theta_at_delta_0.2
fg:FinnGen COPD,0.15,0.03,-1.3478648011579917,-0.26418501465767946,-0.004878994600597029
fg:FinnGen lung cancer,inf,0.04,-2.0878409534285605,-0.6339183955229614,-0.08215493875564285
own:LUAD,inf,0.04,-1.8184287969410438,-0.579368691366614,-0.08799460873758268
own:LUSC,0.5,0.04,-2.3481801092466994,-0.6464792111191875,-0.07069343636370241
own:SCLC,0.15,0.03,-2.580565372257759,-0.5518650242591683,-0.04402206390201298
