trait,n_cis_tested,n_credible_set,mean_abs_r,min_abs_r,max_abs_r,n_p_e_lt_1e-06,n_p_e_lt_1e-05,n_p_e_lt_1e-04,n_p_e_lt_1e-03,lead_snp,lead_wald,lead_F,wald_median,wald_iqr,wald_min,wald_max,ld_effective_rank,ld_condition_number,theta_smr_point,theta_smr_boot_sd,cond_snp,Q_raw,Q_null_raw,Q_p_raw,Q_cond,Q_null_cond,Q_p_cond,z_lead_cond,z_lead_raw,rho_wald_vs_rA,theta_cond_median,wald_median_no_sentinel,wald_median_no_top5
LUAD,1603,52,0.9047004524886878,0.5392,1.0,14,52,119,136,rs7359276,-1.8126490102944164,28.2723070472709,-1.8179917387021773,0.14920912492977423,-2.1379688917872066,-1.2325319095416223,26,4.725957248326972e+301,-0.44107151923739735,531.1551715044036,rs16969968,5.5467225453092155,5.140927646220482,0.4862568715642179,295.6667440172951,5.315045978163559,0.0004997501249375312,4.25086299025082,10.208378870673952,-0.24964551019898137,-0.8142010210474058,-1.8203940849150086,-1.8252491631342873
LUSC,1551,52,0.9047004524886878,0.5392,1.0,14,52,102,116,rs7359276,-2.338625316502486,28.2723070472709,-2.4289552438592965,0.18659707527552927,-2.7399422617324074,-1.8322365484952003,26,4.725957248326972e+301,-0.1068760893410239,576.7036514114756,rs16969968,5.534240216587815,4.400754303668453,0.43928035982008995,169.69586229978117,4.547461355375658,0.0004997501249375312,6.044415205189269,11.245145523217063,-0.25528297774241304,-1.3710625863433772,-2.4321869412653334,-2.4327892990658673
SCLC,1464,52,0.9047004524886878,0.5392,1.0,14,52,120,137,rs7359276,-2.5729480473875834,28.2723070472709,-2.5739538706739395,0.2548447279148016,-3.0303646028921003,-1.7088502827838592,26,4.725957248326972e+301,-1.4025624259505372,1024.9671602620947,rs16969968,5.5198743485648025,7.808495770585151,0.5937031484257871,175.61569289386895,8.07487266354154,0.001999000499750125,4.068786660452445,7.722340868118153,-0.2339642410776456,-1.3827129401883949,-2.5749596939602952,-2.588587188364964
