from,to,lead_variants_found,sig_in_both,same_sign,opposite,frac_opposite,share_rate,binomial_p_vs_50pct
Lung,Prostate,24617,2520,2518,2,0.0007936507936507937,0.1023682820814884,0.0
Prostate,Lung,24621,2864,2861,3,0.001047486033519553,0.11632346370984119,0.0
Lung,Stomach,23477,3212,3204,8,0.0024906600249066002,0.13681475486646505,0.0
Stomach,Lung,23496,3496,3489,7,0.002002288329519451,0.1487912836227443,0.0
Prostate,Stomach,23696,2397,2395,2,0.0008343763037129745,0.10115631330182309,0.0
Stomach,Prostate,23710,2295,2290,5,0.002178649237472767,0.0967946014339941,0.0
